Attack Scenario,Configuration,Precision Mean,Precision SD,Attack Recall Mean,Attack Recall SD,F1-Score Mean,F1-Score SD,TP_Total,FP_Total,TN_Total,FN_Total,Mean Intensity,Min Intensity,Final Intensity,Batches at Min Limit,% Batches at Min Limit,Red States,Yellow States,Green States
Silent Probing,No Defense baseline,0.9892777107912332,0.0020352050031751537,0.957280700686537,0.004257810163623036,0.9730105665658162,0.002443276063570533,788886,8548,815533,35194,0.0,0.0,0.0,330,100.0,0,0,0
Silent Probing,Base AFP,0.9254264787115603,0.0697526290384417,0.005689855378050057,0.00152552804363044,0.011305466988845023,0.003014177725423726,4687,385,823696,819393,0.19999999999999996,0.2,0.2,330,100.0,0,0,0
Silent Probing,Controller (min=0.00),0.9918555296234258,0.008432343509547292,0.9186412022745877,0.15913696325097126,0.9413777821016341,0.1546065782465723,756995,5705,818376,67085,0.0034346429967041588,1.7411282182009429e-07,1.7411282182009429e-07,310,93.93939393939394,13,112,200
Silent Probing,Controller (min=0.01),0.9982342990251794,0.0056427386859159,0.06551393095123687,0.009901530563637633,0.12279231589086038,0.01815309040413343,53977,79,824002,770103,0.013166060606060606,0.01,0.01,322,97.57575757575758,325,0,0
Silent Probing,Controller (min=0.02),0.9968418114549997,0.012104064747771653,0.03253960167968873,0.005030817153716477,0.06297810431603305,0.009539260123518457,26813,58,824023,797267,0.022945454545454547,0.02,0.02,323,97.87878787878788,325,0,0
Surrogate Transferability,No Defense baseline,0.9834990367550938,0.0031313746439292486,0.618535064420252,0.00982466439961755,0.7594010450532447,0.0075869255426341126,509698,8548,815533,314382,0.0,0.0,0.0,330,100.0,0,0,0
Surrogate Transferability,Base AFP,0.9361267793656988,0.06355829892079713,0.006047402780517554,0.0015685467762399162,0.01201245314344348,0.0030975725229180602,4983,337,823744,819097,0.19999999999999996,0.2,0.2,330,100.0,0,0,0
Surrogate Transferability,Controller (min=0.00),0.9831016906351131,0.012866176534994087,0.596975971651428,0.1044709137752297,0.7349925248329637,0.12261231177806323,491899,8111,815970,332181,0.0034343434343434348,9.343878384890427e-131,9.343878384890427e-131,312,94.54545454545455,325,0,0
Surrogate Transferability,Controller (min=0.01),0.9973269373672872,0.009815320779941648,0.04832460282378584,0.007246474802706306,0.0920937579098159,0.013525003084926978,39820,70,824011,784260,0.013166060606060606,0.01,0.01,322,97.57575757575758,325,0,0
Surrogate Transferability,Controller (min=0.02),0.9966595712908632,0.01803638202066715,0.02801258636211883,0.004428416315686734,0.05445878644873483,0.008460203188683459,23082,57,824024,800998,0.022945454545454547,0.02,0.02,323,97.87878787878788,325,0,0
Decision-Boundary Attack,No Defense baseline,0.8907984162780176,0.01937217625303303,0.08457645474839323,0.00529169747046699,0.15444053754355735,0.008904592769424449,69696,8548,815533,754384,0.0,0.0,0.0,330,100.0,0,0,0
Decision-Boundary Attack,Base AFP,0.8205629891993529,0.17321790545524712,0.002035485677344034,0.0008615433679910834,0.004059467985992086,0.001714974307499964,1676,366,823715,822404,0.19999999999999996,0.2,0.2,330,100.0,0,0,0
Decision-Boundary Attack,Controller (min=0.00),0.8913936551755776,0.035302164884211486,0.08110113915460791,0.017213536941846255,0.1481371112934164,0.03094820000746631,66826,8107,815974,757254,0.0034343434343434348,9.343878384890427e-131,9.343878384890427e-131,312,94.54545454545455,325,0,0
Decision-Boundary Attack,Controller (min=0.01),0.9729689195731976,0.06108162243921066,0.0028023856846841333,0.0010438003746772988,0.005586517902220616,0.002075065198628158,2309,65,824016,821771,0.013166060606060606,0.01,0.01,322,97.57575757575758,325,0,0
Decision-Boundary Attack,Controller (min=0.02),0.9701574940211303,0.0724259214910842,0.002329674277184858,0.0009978294046655884,0.004646228176597819,0.0019850862574592515,1920,60,824021,822160,0.022945454545454547,0.02,0.02,323,97.87878787878788,325,0,0
